ServiceNo,Direction,Operator,n_stops,route_distance_km,wd_first_min,wd_last_min,wd_service_span_min,unique_stops,Category,OriginCode,DestinationCode,avg_wd_headway_min,one_way_trip_time_min,baseline_daily_trips,offered_stop_visits_per_day,complexity_score,bottleneck_score,throughput_intensity,priority_score,max_additional_trips,trip_resource_hours,optimal_additional_trips,resource_used_hours,new_total_trips
36B,1,GAS,56,40.4,490.0,1164.0,579.0,51,TRUNK,93049,93199,54.333333333333336,154.26666666666665,10.656441717791411,596.760736196319,1.6088892771245475,2.722328994318581,3.868371237227652,3.0934132461575934,3.0,2.5711111111111107,3,7.713333333333332,13.656441717791411
4N,1,SBST,84,41.8,,,,81,NIGHT SERVICE,2099,78059,40.0,168.73333333333332,85.54455445544555,7185.742574257426,2.2100830919611054,2.597013353657306,42.586384280466774,3.1122451731197436,22.0,2.812222222222222,22,61.86888888888889,107.54455445544555
858,1,SMRT,83,73.5,301.0,1437.0,1176.0,74,TRUNK,46009,46009,7.25,274.04999999999995,162.20689655172413,13463.172413793103,4.0237986745983285,2.567787755021132,49.12670101730745,3.7974046455719006,41.0,4.567499999999999,0,0.0,162.20689655172413
518,1,GAS,91,59.9,360.0,1440.0,1016.0,83,EXPRESS,77009,77009,17.5,231.51666666666665,58.05714285714286,5283.2,3.3863521134813235,2.5342205680711367,22.81995536678425,3.4776334176463095,15.0,3.8586111111111108,0,0.0,58.05714285714286
502,1,SBST,89,59.6,355.0,1440.0,1055.0,77,EXPRESS,22609,22609,17.25,229.8166666666667,61.15942028985507,5443.188405797101,3.3318494663858713,2.4851308410277113,23.68491582767612,3.3670380338609904,16.0,3.8302777777777783,0,0.0,61.15942028985507
NR7,1,SMRT,106,41.1,,,,103,NIGHT RIDER,2099,98029,29.0,174.1,85.54455445544555,9067.722772277228,2.5784075750114024,2.436691796825114,52.08341626810585,2.9732926311304197,22.0,2.9016666666666664,6,17.409999999999997,91.54455445544555
67W,1,SMRT,39,15.8,,,,39,TRUNK,75009,40011,77.0,66.31666666666666,85.54455445544555,3336.2376237623766,-0.12889877362253194,2.3949061251716537,50.30767967472797,1.796717641781561,22.0,1.1052777777777778,22,24.316111111111113,107.54455445544555
2N,1,SBST,78,38.7,,,,75,NIGHT SERVICE,2099,75109,40.0,156.3,85.54455445544555,6672.475247524753,1.9194126014249249,2.3910211089501914,42.69018072632599,2.6229539461482725,22.0,2.605,2,5.21,87.54455445544555
3N,1,SBST,72,38.6,,,,68,NIGHT SERVICE,2099,45301,40.0,153.86666666666665,85.54455445544555,6159.20792079208,1.8021455871385035,2.305270085889445,40.029514216586314,2.420789436088156,22.0,2.5644444444444443,0,0.0,85.54455445544555
5N,1,SBST,72,38.6,,,,67,NIGHT SERVICE,2099,27159,40.0,153.86666666666665,85.54455445544555,6159.20792079208,1.8021455871385035,2.305270085889445,40.029514216586314,2.420789436088156,22.0,2.5644444444444443,0,0.0,85.54455445544555
