ServiceNo,Direction,Operator,n_stops,route_distance_km,wd_first_min,wd_last_min,wd_service_span_min,unique_stops,Category,OriginCode,DestinationCode,avg_wd_headway_min,one_way_trip_time_min,baseline_daily_trips,offered_stop_visits_per_day,complexity_score,bottleneck_score,throughput_intensity
858,1,SMRT,83,73.5,301.0,1437.0,1176.0,74,TRUNK,46009,46009,7.25,274.04999999999995,162.20689655172413,13463.172413793103,4.0237986745983285,2.567787755021132,49.12670101730745
518,1,GAS,91,59.9,360.0,1440.0,1016.0,83,EXPRESS,77009,77009,17.5,231.51666666666665,58.05714285714286,5283.2,3.3863521134813235,2.5342205680711367,22.81995536678425
502,1,SBST,89,59.6,355.0,1440.0,1055.0,77,EXPRESS,22609,22609,17.25,229.8166666666667,61.15942028985507,5443.188405797101,3.3318494663858713,2.4851308410277113,23.68491582767612
24,1,SBST,103,51.7,330.0,1437.0,1122.0,99,TRUNK,54009,54009,10.625,208.38333333333333,105.6,10876.8,3.135356408554839,2.09905373085877,52.196112932896106
966,1,SMRT,63,63.6,345.0,1439.0,1065.0,50,TRUNK,46009,46009,11.5,234.05,92.6086956521739,5834.347826086956,3.0799442082693576,2.0654201654747237,24.927783918337774
53,1,SBST,87,53.0,320.0,1440.0,1169.0,80,TRUNK,53009,53009,9.125,207.11666666666667,128.1095890410959,11145.534246575342,2.9131995191659232,1.874269309406662,53.812831318461456
70M,1,SBST,105,42.0,1095.0,1439.0,286.0,104,TRUNK,55509,55509,14.375,176.75,19.895652173913042,2089.0434782608695,2.6118474681510917,1.8847906031344102,11.81919931123547
160,1,SBST,84,48.7,330.0,1440.0,1135.0,78,TRUNK,28009,28009,16.375,191.73333333333335,69.31297709923665,5822.290076335878,2.608911087335553,1.9457724460832095,30.36660331885889
NR7,1,SMRT,106,41.1,,,,103,NIGHT RIDER,2099,98029,29.0,174.1,85.54455445544555,9067.722772277228,2.5784075750114024,2.436691796825114,52.08341626810585
36,1,GAS,67,52.7,330.0,1438.0,1122.0,60,TRUNK,95129,95129,9.125,199.11666666666667,122.95890410958904,8238.246575342466,2.524236176836183,1.5897685794446896,41.37396790161111
89,1,SBST,95,43.4,330.0,1440.0,1113.0,94,TRUNK,64009,64009,12.0,177.91666666666666,92.75,8811.25,2.5069575930485977,1.7113944003963542,49.52459016393443
NR1,1,SMRT,93,43.2,,,,80,NIGHT RIDER,14519,59561,25.0,176.55,85.54455445544555,7955.643564356436,2.4582350618281374,2.186663751324416,45.06170243192544
